Corr_Gen,Fam.ID,Age1_weeks,Age2_weeks,ID
G0_F1,1,40,39,Female
G0_F1,2,42,37,Female
G0_F1,5,20,29,Female
G0_F1,6,50,37,Female
G0_F1,7,44,33,Female
G0_F1,8,36,39,Female
G0_F1,9,36,35,Female
G0_F1,10,38,15,Female
G0_F1,11,56,39,Female
G0_F1,12,36,43,Female
G0_F1,13,46,24,Female
G0_F1,14,50,41,Female
G0_F1,15,40,35,Female
G0_F1,17,38,29,Female
G0_F1,18,68,55,Female
G0_F1,19,34,25,Female
G0_F1,20,25,44,Female
G0_F1,21,34,35,Female
G0_F1,22,34,43,Female
G0_F1,23,48,37,Female
G0_F1,24,20,33,Female
G0_F1,27,42,37,Female
G0_F1,31,62,37,Female
G0_F1,32,36,23,Female
G0_F1,33,40,41,Female
G0_F1,34,36,41,Female
G0_F1,35,38,23,Female
G0_F1,37,60,35,Female
G0_F1,38,34,33,Female
G0_F1,39,42,35,Female
G0_F1,40,36,39,Female
G0_F1,42,38,35,Female
G0_F1,43,44,63,Female
G0_F1,44,56,47,Female
G0_F1,45,36,20,Female
F1_F2,1,39,25,Female
F1_F2,2,37,35,Female
F1_F2,5,29,23,Female
F1_F2,6,37,41,Female
F1_F2,7,33,47,Female
F1_F2,8,39,33,Female
F1_F2,9,35,41,Female
F1_F2,10,15,27,Female
F1_F2,11,39,49,Female
F1_F2,12,43,31,Female
F1_F2,13,24,18,Female
F1_F2,14,41,39,Female
F1_F2,15,35,49,Female
F1_F2,17,29,35,Female
F1_F2,18,55,47,Female
F1_F2,19,25,25,Female
F1_F2,20,44,45,Female
F1_F2,21,35,39,Female
F1_F2,22,43,31,Female
F1_F2,23,37,31,Female
F1_F2,24,33,23,Female
F1_F2,27,37,37,Female
F1_F2,31,37,51,Female
F1_F2,32,23,25,Female
F1_F2,33,41,27,Female
F1_F2,34,41,33,Female
F1_F2,35,23,29,Female
F1_F2,37,35,23,Female
F1_F2,38,33,35,Female
F1_F2,39,35,35,Female
F1_F2,40,39,31,Female
F1_F2,42,35,45,Female
F1_F2,43,63,31,Female
F1_F2,44,47,31,Female
F1_F2,45,20,47,Female
F2_F3,1,25,27,Female
F2_F3,2,35,37,Female
F2_F3,5,23,53,Female
F2_F3,6,41,29,Female
F2_F3,7,47,37,Female
F2_F3,8,33,27,Female
F2_F3,9,41,37,Female
F2_F3,10,27,17,Female
F2_F3,11,49,43,Female
F2_F3,12,31,41,Female
F2_F3,13,18,35,Female
F2_F3,14,39,65,Female
F2_F3,15,49,39,Female
F2_F3,17,35,39,Female
F2_F3,18,47,21,Female
F2_F3,19,25,15,Female
F2_F3,20,45,35,Female
F2_F3,21,39,31,Female
F2_F3,22,31,49,Female
F2_F3,23,31,29,Female
F2_F3,24,23,19,Female
F2_F3,27,37,35,Female
F2_F3,31,51,39,Female
F2_F3,32,25,23,Female
F2_F3,33,27,31,Female
F2_F3,34,33,43,Female
F2_F3,35,29,45,Female
F2_F3,37,23,26,Female
F2_F3,38,35,31,Female
F2_F3,39,35,41,Female
F2_F3,40,31,19,Female
F2_F3,42,45,49,Female
F2_F3,43,31,29,Female
F2_F3,44,31,15,Female
F2_F3,45,47,33,Female
F3_F4,1,27,11,Female
F3_F4,2,37,9,Female
F3_F4,5,53,43,Female
F3_F4,6,29,1,Female
F3_F4,7,37,35,Female
F3_F4,8,27,35,Female
F3_F4,9,37,29,Female
F3_F4,10,17,21,Female
F3_F4,11,43,49,Female
F3_F4,12,41,33,Female
F3_F4,13,35,21,Female
F3_F4,14,65,29,Female
F3_F4,15,39,37,Female
F3_F4,17,39,21,Female
F3_F4,18,21,39,Female
F3_F4,19,15,13,Female
F3_F4,20,35,33,Female
F3_F4,21,31,11,Female
F3_F4,22,49,45,Female
F3_F4,23,29,25,Female
F3_F4,24,19,17,Female
F3_F4,27,35,29,Female
F3_F4,31,39,27,Female
F3_F4,32,23,23,Female
F3_F4,33,31,31,Female
F3_F4,34,43,39,Female
F3_F4,35,45,8,Female
F3_F4,37,26,23,Female
F3_F4,38,31,35,Female
F3_F4,39,41,41,Female
F3_F4,40,19,21,Female
F3_F4,42,49,41,Female
F3_F4,43,29,19,Female
F3_F4,44,15,1,Female
F3_F4,45,33,13,Female
F4_F5,1,11,21,Female
F4_F5,2,9,27,Female
F4_F5,5,43,27,Female
F4_F5,6,1,25,Female
F4_F5,7,35,41,Female
F4_F5,8,35,19,Female
F4_F5,9,29,15,Female
F4_F5,10,21,9,Female
F4_F5,11,49,41,Female
F4_F5,12,33,9,Female
F4_F5,13,21,15,Female
F4_F5,14,29,27,Female
F4_F5,15,37,0,Female
F4_F5,17,21,9,Female
F4_F5,18,39,27,Female
F4_F5,19,13,19,Female
F4_F5,20,33,9,Female
F4_F5,21,11,31,Female
F4_F5,22,45,33,Female
F4_F5,23,25,13,Female
F4_F5,24,17,5,Female
F4_F5,27,29,1,Female
F4_F5,31,27,9,Female
F4_F5,32,23,13,Female
F4_F5,33,31,35,Female
F4_F5,34,39,9,Female
F4_F5,35,8,14,Female
F4_F5,37,23,11,Female
F4_F5,38,35,39,Female
F4_F5,39,41,27,Female
F4_F5,40,21,9,Female
F4_F5,42,41,11,Female
F4_F5,43,19,15,Female
F4_F5,44,1,8,Female
F4_F5,45,13,19,Female
F5_F6,1,21,13,Female
F5_F6,2,27,0,Female
F5_F6,5,27,31,Female
F5_F6,6,25,25,Female
F5_F6,7,41,4,Female
F5_F6,8,19,25,Female
F5_F6,9,15,21,Female
F5_F6,10,9,0,Female
F5_F6,11,41,3,Female
F5_F6,12,9,37,Female
F5_F6,13,15,13,Female
F5_F6,14,27,27,Female
F5_F6,15,0,29,Female
F5_F6,17,9,5,Female
F5_F6,18,27,47,Female
F5_F6,19,19,23,Female
F5_F6,20,9,23,Female
F5_F6,21,31,19,Female
F5_F6,22,33,5,Female
F5_F6,23,13,9,Female
F5_F6,24,5,17,Female
F5_F6,27,1,5,Female
F5_F6,31,9,31,Female
F5_F6,32,13,13,Female
F5_F6,33,35,5,Female
F5_F6,34,9,35,Female
F5_F6,35,14,21,Female
F5_F6,37,11,0,Female
F5_F6,38,39,19,Female
F5_F6,39,27,5,Female
F5_F6,40,9,25,Female
F5_F6,42,11,17,Female
F5_F6,43,15,21,Female
F5_F6,44,8,27,Female
F5_F6,45,19,0,Female
