Family,ID,Elytra
1,G0,2.327
2,G0,2.423
5,G0,2.371
6,G0,2.498
7,G0,2.573
8,G0,2.422
9,G0,2.62
11,G0,2.589
12,G0,2.407
13,G0,2.421
14,G0,2.47
16,G0,2.411
17,G0,2.378
18,G0,2.623
19,G0,2.493
20,G0,2.503
21,G0,2.482
22,G0,2.501
23,G0,2.375
24,G0,2.427
27,G0,2.578
31,G0,2.398
32,G0,2.494
33,G0,2.451
34,G0,2.436
35,G0,2.603
38,G0,2.564
39,G0,2.403
40,G0,2.439
42,G0,2.333
43,G0,2.468
44,G0,2.545
45,G0,2.517
1,Inb.1,2.347
2,Inb.1,2.354
5,Inb.1,2.502
6,Inb.1,2.576
7,Inb.1,2.354
8,Inb.1,2.279
9,Inb.1,2.562
11,Inb.1,2.458
12,Inb.1,2.157
13,Inb.1,2.416
14,Inb.1,2.419
16,Inb.1,2.428
17,Inb.1,2.405
18,Inb.1,2.469
19,Inb.1,2.443
20,Inb.1,2.388
21,Inb.1,2.452
22,Inb.1,2.433
23,Inb.1,2.389
24,Inb.1,2.303
27,Inb.1,2.501
31,Inb.1,2.51
32,Inb.1,2.611
33,Inb.1,2.433
34,Inb.1,2.347
35,Inb.1,2.532
38,Inb.1,2.464
39,Inb.1,2.465
40,Inb.1,2.497
42,Inb.1,2.43
43,Inb.1,2.46
44,Inb.1,2.371
45,Inb.1,2.588
1,Inb.2,2.328
2,Inb.2,2.464
5,Inb.2,2.424
6,Inb.2,2.506
7,Inb.2,2.396
8,Inb.2,2.408
9,Inb.2,2.457
11,Inb.2,2.506
12,Inb.2,2.399
13,Inb.2,2.484
14,Inb.2,2.344
16,Inb.2,2.393
17,Inb.2,2.441
18,Inb.2,2.471
19,Inb.2,2.532
20,Inb.2,2.484
21,Inb.2,2.398
22,Inb.2,2.476
23,Inb.2,2.408
24,Inb.2,2.323
27,Inb.2,2.511
31,Inb.2,2.347
32,Inb.2,2.542
33,Inb.2,2.447
34,Inb.2,2.386
35,Inb.2,2.508
38,Inb.2,2.328
39,Inb.2,2.298
40,Inb.2,2.613
42,Inb.2,2.505
43,Inb.2,2.396
44,Inb.2,2.378
45,Inb.2,2.533
1,Inb.3,2.431
2,Inb.3,2.428
5,Inb.3,2.255
6,Inb.3,2.557
7,Inb.3,2.292
8,Inb.3,2.38
9,Inb.3,2.469
11,Inb.3,2.497
12,Inb.3,2.442
13,Inb.3,2.408
14,Inb.3,2.39
16,Inb.3,2.354
17,Inb.3,2.452
18,Inb.3,2.515
19,Inb.3,2.541
20,Inb.3,2.371
21,Inb.3,2.372
22,Inb.3,2.345
23,Inb.3,2.354
24,Inb.3,2.311
27,Inb.3,2.476
31,Inb.3,2.326
32,Inb.3,2.458
33,Inb.3,2.145
34,Inb.3,2.3
35,Inb.3,2.366
38,Inb.3,2.413
39,Inb.3,2.244
40,Inb.3,2.409
42,Inb.3,2.537
43,Inb.3,2.441
44,Inb.3,2.222
45,Inb.3,2.361
1,Inb.4,2.375
2,Inb.4,2.299
5,Inb.4,2.285
6,Inb.4,2.416
7,Inb.4,2.362
8,Inb.4,2.338
9,Inb.4,2.462
11,Inb.4,2.494
12,Inb.4,2.397
13,Inb.4,2.344
14,Inb.4,2.39
16,Inb.4,2.275
17,Inb.4,2.477
18,Inb.4,2.411
19,Inb.4,2.537
20,Inb.4,2.395
21,Inb.4,2.367
22,Inb.4,2.299
23,Inb.4,2.345
24,Inb.4,2.203
27,Inb.4,2.509
31,Inb.4,2.433
32,Inb.4,2.521
33,Inb.4,2.35
34,Inb.4,2.253
35,Inb.4,2.359
38,Inb.4,2.315
39,Inb.4,2.269
40,Inb.4,2.402
42,Inb.4,2.388
43,Inb.4,2.404
44,Inb.4,2.41
45,Inb.4,2.417
1,Inb.5,2.341
2,Inb.5,2.309
5,Inb.5,2.403
6,Inb.5,2.527
7,Inb.5,2.366
8,Inb.5,2.409
9,Inb.5,2.487
11,Inb.5,2.332
12,Inb.5,2.344
13,Inb.5,2.352
14,Inb.5,2.464
16,Inb.5,2.32
17,Inb.5,2.401
18,Inb.5,2.415
19,Inb.5,2.407
20,Inb.5,2.358
21,Inb.5,2.369
22,Inb.5,2.412
23,Inb.5,2.31
24,Inb.5,2.221
27,Inb.5,2.458
31,Inb.5,2.404
32,Inb.5,2.635
33,Inb.5,2.439
34,Inb.5,2.188
35,Inb.5,2.195
38,Inb.5,2.272
39,Inb.5,2.275
40,Inb.5,2.537
42,Inb.5,2.496
43,Inb.5,2.451
44,Inb.5,2.356
45,Inb.5,2.448
1,Inb.6,2.306
2,Inb.6,2.353
5,Inb.6,2.312
6,Inb.6,2.573
7,Inb.6,2.386
8,Inb.6,2.389
9,Inb.6,2.381
11,Inb.6,2.347
12,Inb.6,2.252
13,Inb.6,2.23
14,Inb.6,2.399
16,Inb.6,2.407
17,Inb.6,2.303
18,Inb.6,2.469
19,Inb.6,2.489
20,Inb.6,2.441
21,Inb.6,2.254
22,Inb.6,2.355
23,Inb.6,2.36
24,Inb.6,2.304
27,Inb.6,2.461
31,Inb.6,2.278
32,Inb.6,2.427
33,Inb.6,2.392
34,Inb.6,2.235
35,Inb.6,2.342
38,Inb.6,2.36
39,Inb.6,2.336
40,Inb.6,2.566
42,Inb.6,2.406
43,Inb.6,2.513
44,Inb.6,2.311
45,Inb.6,2.285
