Family,ID,Offspring
1,G0,163
2,G0,104
5,G0,125
6,G0,126
7,G0,127
8,G0,157
9,G0,81
10,G0,106
11,G0,117
12,G0,103
13,G0,151
14,G0,134
16,G0,61
17,G0,132
18,G0,131
19,G0,92
20,G0,150
21,G0,154
22,G0,106
23,G0,126
24,G0,153
27,G0,44
31,G0,53
32,G0,144
33,G0,120
34,G0,128
35,G0,125
37,G0,120
38,G0,101
39,G0,117
40,G0,75
42,G0,128
43,G0,101
44,G0,151
45,G0,125
1,Inb.1,103
2,Inb.1,38
5,Inb.1,144
6,Inb.1,129
7,Inb.1,99
8,Inb.1,95
9,Inb.1,87
10,Inb.1,82
11,Inb.1,116
12,Inb.1,139
13,Inb.1,104
14,Inb.1,55
16,Inb.1,74
17,Inb.1,121
18,Inb.1,142
19,Inb.1,90
20,Inb.1,121
21,Inb.1,80
22,Inb.1,113
23,Inb.1,119
24,Inb.1,108
27,Inb.1,126
31,Inb.1,101
32,Inb.1,158
33,Inb.1,87
34,Inb.1,104
35,Inb.1,26
37,Inb.1,78
38,Inb.1,98
39,Inb.1,108
40,Inb.1,103
42,Inb.1,91
43,Inb.1,64
44,Inb.1,32
45,Inb.1,102
1,Inb.2,57
2,Inb.2,28
5,Inb.2,115
6,Inb.2,91
7,Inb.2,69
8,Inb.2,55
9,Inb.2,90
10,Inb.2,27
11,Inb.2,63
12,Inb.2,57
13,Inb.2,117
14,Inb.2,78
16,Inb.2,106
17,Inb.2,93
18,Inb.2,114
19,Inb.2,113
20,Inb.2,58
21,Inb.2,109
22,Inb.2,107
23,Inb.2,38
24,Inb.2,80
27,Inb.2,108
31,Inb.2,43
32,Inb.2,111
33,Inb.2,45
34,Inb.2,74
35,Inb.2,75
37,Inb.2,89
38,Inb.2,111
39,Inb.2,94
40,Inb.2,94
42,Inb.2,91
43,Inb.2,22
44,Inb.2,65
45,Inb.2,92
1,Inb.3,65
2,Inb.3,81
5,Inb.3,109
6,Inb.3,48
7,Inb.3,10
8,Inb.3,94
9,Inb.3,69
10,Inb.3,37
11,Inb.3,82
12,Inb.3,67
13,Inb.3,116
14,Inb.3,46
16,Inb.3,35
17,Inb.3,82
18,Inb.3,78
19,Inb.3,90
20,Inb.3,96
21,Inb.3,112
22,Inb.3,76
23,Inb.3,131
24,Inb.3,72
27,Inb.3,71
31,Inb.3,91
32,Inb.3,125
33,Inb.3,39
34,Inb.3,48
35,Inb.3,86
37,Inb.3,35
38,Inb.3,92
39,Inb.3,101
40,Inb.3,120
42,Inb.3,105
43,Inb.3,20
44,Inb.3,61
45,Inb.3,76
1,Inb.4,35
2,Inb.4,48
5,Inb.4,67
6,Inb.4,48
7,Inb.4,57
8,Inb.4,44
9,Inb.4,46
10,Inb.4,16
11,Inb.4,28
12,Inb.4,80
13,Inb.4,57
14,Inb.4,78
16,Inb.4,12
17,Inb.4,35
18,Inb.4,63
19,Inb.4,90
20,Inb.4,51
21,Inb.4,85
22,Inb.4,84
23,Inb.4,53
24,Inb.4,32
27,Inb.4,71
31,Inb.4,74
32,Inb.4,128
33,Inb.4,23
34,Inb.4,74
35,Inb.4,83
37,Inb.4,7
38,Inb.4,77
39,Inb.4,27
40,Inb.4,95
42,Inb.4,66
43,Inb.4,52
44,Inb.4,8
45,Inb.4,69
1,Inb.5,18
2,Inb.5,17
5,Inb.5,65
6,Inb.5,21
7,Inb.5,12
8,Inb.5,85
9,Inb.5,51
10,Inb.5,13
11,Inb.5,69
12,Inb.5,22
13,Inb.5,38
14,Inb.5,66
16,Inb.5,10
17,Inb.5,81
18,Inb.5,76
19,Inb.5,101
20,Inb.5,17
21,Inb.5,78
22,Inb.5,66
23,Inb.5,55
24,Inb.5,49
27,Inb.5,39
31,Inb.5,73
32,Inb.5,82
33,Inb.5,26
34,Inb.5,66
35,Inb.5,97
37,Inb.5,26
38,Inb.5,67
39,Inb.5,66
40,Inb.5,44
42,Inb.5,70
43,Inb.5,55
44,Inb.5,19
45,Inb.5,9
1,Inb.6,54
2,Inb.6,35
5,Inb.6,58
6,Inb.6,41
7,Inb.6,36
8,Inb.6,45
9,Inb.6,22
10,Inb.6,3
11,Inb.6,8
12,Inb.6,43
13,Inb.6,52
14,Inb.6,22
16,Inb.6,8
17,Inb.6,35
18,Inb.6,37
19,Inb.6,54
20,Inb.6,23
21,Inb.6,57
22,Inb.6,66
23,Inb.6,19
24,Inb.6,43
27,Inb.6,12
31,Inb.6,79
32,Inb.6,54
33,Inb.6,36
34,Inb.6,32
35,Inb.6,35
37,Inb.6,0
38,Inb.6,39
39,Inb.6,84
40,Inb.6,99
42,Inb.6,39
43,Inb.6,49
44,Inb.6,18
45,Inb.6,12
