Sex,Family,ID,Elytra_mm,Elytra
Male,1,G0,2.327,2327
Male,2,G0,2.423,2423
Male,3,G0,2.409,2409
Male,4,G0,2.234,2234
Male,5,G0,2.371,2371
Male,6,G0,2.498,2498
Male,7,G0,2.573,2573
Male,8,G0,2.422,2422
Male,9,G0,2.62,2620
Male,10,G0,2.472,2472
Male,11,G0,2.589,2589
Male,12,G0,2.407,2407
Male,13,G0,2.421,2421
Male,14,G0,2.47,2470
Male,15,G0,2.441,2441
Male,16,G0,2.411,2411
Male,17,G0,2.378,2378
Male,18,G0,2.623,2623
Male,19,G0,2.493,2493
Male,20,G0,2.503,2503
Male,21,G0,2.482,2482
Male,22,G0,2.501,2501
Male,23,G0,2.375,2375
Male,24,G0,2.427,2427
Male,25,G0,2.561,2561
Male,26,G0,2.384,2384
Male,27,G0,2.578,2578
Male,28,G0,2.572,2572
Male,29,G0,2.551,2551
Male,30,G0,2.499,2499
Male,31,G0,2.398,2398
Male,32,G0,2.494,2494
Male,33,G0,2.451,2451
Male,34,G0,2.436,2436
Male,35,G0,2.603,2603
Male,36,G0,2.582,2582
Male,37,G0,2.492,2492
Male,38,G0,2.564,2564
Male,39,G0,2.403,2403
Male,40,G0,2.439,2439
Male,41,G0,2.455,2455
Male,42,G0,2.333,2333
Male,43,G0,2.468,2468
Male,44,G0,2.545,2545
Male,45,G0,2.517,2517
Female,1b,G0,2.56,2560
Female,2a,G0,2.49,2490
Female,3b,G0,2.54,2540
Female,4b,G0,2.43,2430
Female,5b,G0,2.53,2530
Female,6b,G0,2.61,2610
Female,7b,G0,2.58,2580
Female,8b,G0,2.48,2480
Female,9b,G0,2.56,2560
Female,10b,G0,2.67,2670
Female,11b,G0,2.59,2590
Female,12b,G0,2.45,2450
Female,13b,G0,2.52,2520
Female,14b,G0,2.55,2550
Female,15b,G0,2.45,2450
Female,16b,G0,2.56,2560
Female,17b,G0,2.7,2700
Female,18b,G0,2.54,2540
Female,19b,G0,2.56,2560
Female,20b,G0,2.52,2520
Female,21b,G0,2.5,2500
Female,22b,G0,2.5,2500
Female,23b,G0,2.5,2500
Female,24b,G0,2.45,2450
Female,25b,G0,2.58,2580
Female,26b,G0,2.52,2520
Female,27b,G0,2.67,2670
Female,28b,G0,2.53,2530
Female,29b,G0,2.49,2490
Female,30b,G0,2.6,2600
Female,31b,G0,2.63,2630
Female,32b,G0,2.7,2700
Female,33b,G0,2.58,2580
Female,34b,G0,2.36,2360
Female,35b,G0,2.54,2540
Female,36b,G0,2.63,2630
Female,37b,G0,2.5,2500
Female,38b,G0,2.66,2660
Female,39b,G0,2.57,2570
Female,40b,G0,2.58,2580
Female,41b,G0,2.51,2510
Female,42b,G0,2.57,2570
Female,43b,G0,2.4,2400
Female,44a,G0,2.53,2530
Female,45b,G0,2.64,2640
Male,1,G7,2.493,2493
Male,2,G7,2.48,2480
Male,3,G7,2.353,2353
Male,4,G7,2.377,2377
Male,5,G7,2.512,2512
Male,6,G7,2.657,2657
Male,7,G7,2.656,2656
Male,8,G7,2.425,2425
Male,9,G7,2.584,2584
Male,10,G7,2.601,2601
Male,11,G7,2.482,2482
Male,12,G7,2.509,2509
Male,13,G7,2.389,2389
Male,14,G7,2.528,2528
Male,15,G7,2.549,2549
Male,16,G7,2.39,2390
Male,17,G7,2.483,2483
Male,18,G7,2.451,2451
Male,19,G7,2.462,2462
Male,20,G7,2.469,2469
Male,21,G7,2.579,2579
Male,22,G7,2.476,2476
Male,23,G7,2.358,2358
Male,24,G7,2.433,2433
Male,25,G7,2.482,2482
Male,26,G7,2.468,2468
Male,27,G7,2.43,2430
Male,28,G7,2.419,2419
Male,29,G7,2.377,2377
Male,30,G7,2.572,2572
Male,31,G7,2.594,2594
Male,32,G7,2.474,2474
Male,33,G7,2.425,2425
Male,34,G7,2.548,2548
Male,35,G7,2.631,2631
Male,36,G7,2.353,2353
Male,37,G7,2.476,2476
Male,38,G7,2.48,2480
Male,39,G7,2.568,2568
Male,40,G7,2.632,2632
Male,41,G7,2.575,2575
Male,42,G7,2.473,2473
Male,43,G7,2.488,2488
Male,44,G7,2.553,2553
Male,45,G7,2.56,2560
Female,1,G7,2.52,2520
Female,2,G7,2.624,2624
Female,3,G7,2.561,2561
Female,4,G7,2.558,2558
Female,5,G7,2.565,2565
Female,6,G7,2.559,2559
Female,7,G7,2.611,2611
Female,8,G7,2.607,2607
Female,9,G7,2.658,2658
Female,10,G7,2.389,2389
Female,11,G7,2.358,2358
Female,12,G7,2.547,2547
Female,13,G7,2.332,2332
Female,14,G7,2.62,2620
Female,15,G7,2.641,2641
Female,16,G7,2.482,2482
Female,17,G7,2.482,2482
Female,18,G7,2.568,2568
Female,19,G7,2.533,2533
Female,20,G7,2.315,2315
Female,21,G7,2.532,2532
Female,22,G7,2.545,2545
Female,23,G7,2.54,2540
Female,24,G7,2.516,2516
Female,25,G7,2.577,2577
Female,26,G7,2.65,2650
Female,27,G7,2.67,2670
Female,28,G7,2.626,2626
Female,29,G7,2.641,2641
Female,30,G7,2.655,2655
Female,31,G7,2.603,2603
Female,32,G7,2.539,2539
Female,33,G7,2.493,2493
Female,34,G7,2.473,2473
Female,35,G7,2.536,2536
Female,36,G7,2.555,2555
Female,37,G7,2.546,2546
Female,38,G7,2.556,2556
Female,39,G7,2.621,2621
Female,40,G7,2.622,2622
Female,41,G7,2.488,2488
Female,42,G7,2.479,2479
Female,43,G7,2.582,2582
Female,44,G7,2.515,2515
Female,45,G7,2.619,2619
