Family,ID,Testes_vol,Testes_vol_microns
1,G0,0.516,516
2,G0,0.612,612
3,G0,0.312,312
4,G0,0.264,264
5,G0,0.42,420
6,G0,0.588,588
7,G0,0.396,396
8,G0,0.324,324
9,G0,0.312,312
10,G0,0.42,420
11,G0,0.468,468
12,G0,0.504,504
13,G0,0.3,300
14,G0,0.396,396
15,G0,0.444,444
16,G0,0.336,336
17,G0,0.348,348
18,G0,0.504,504
19,G0,0.444,444
20,G0,0.54,540
21,G0,0.396,396
22,G0,0.36,360
23,G0,0.36,360
24,G0,0.384,384
25,G0,0.456,456
26,G0,0.396,396
27,G0,0.432,432
28,G0,0.336,336
29,G0,0.48,480
30,G0,0.384,384
31,G0,0.336,336
32,G0,0.348,348
33,G0,0.456,456
34,G0,0.336,336
35,G0,0.492,492
36,G0,0.456,456
37,G0,0.468,468
38,G0,0.396,396
39,G0,0.312,312
40,G0,0.42,420
41,G0,0.36,360
42,G0,0.408,408
43,G0,0.468,468
44,G0,0.552,552
45,G0,0.456,456
1,G7,0.384,384
2,G7,0.42,420
3,G7,0.348,348
4,G7,0.432,432
5,G7,0.444,444
6,G7,0.54,540
7,G7,0.348,348
8,G7,0.396,396
9,G7,0.36,360
10,G7,0.432,432
11,G7,0.324,324
12,G7,0.432,432
13,G7,0.324,324
14,G7,0.324,324
15,G7,0.348,348
16,G7,0.48,480
17,G7,0.384,384
18,G7,0.396,396
19,G7,0.384,384
20,G7,0.48,480
21,G7,0.408,408
22,G7,0.444,444
23,G7,0.348,348
24,G7,0.396,396
25,G7,0.384,384
26,G7,0.468,468
27,G7,0.42,420
28,G7,0.372,372
29,G7,0.372,372
30,G7,0.396,396
31,G7,0.408,408
32,G7,0.348,348
33,G7,0.372,372
34,G7,0.372,372
35,G7,0.504,504
36,G7,0.384,384
37,G7,0.492,492
38,G7,0.444,444
39,G7,0.492,492
40,G7,0.444,444
41,G7,0.384,384
42,G7,0.36,360
43,G7,0.492,492
44,G7,0.348,348
45,G7,0.408,408
